stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
STP-0578,0578,LEOPOLD FUNEL,,43.6931205,6.8415158,,,0,STA-STP-0578,,
STP-0579,0579,LEOPOLD FUNEL,,43.6933138,6.8414243,,,0,STA-STP-0579,,
STP-0580,0580,LA LIANE,,43.6569989,6.917355,,,0,STA-STP-0580,,
STP-0581,0581,LA LIANE,,43.6569669,6.9174603,,,0,STA-STP-0581,,
STP-0582,0582,LA CHARMERAIE,,43.5922809,6.9308103,,,0,STA-STP-0582,,
STP-0583,0583,LA CHARMERAIE,,43.5924653,6.9307541,,,0,STA-STP-0583,,1
STP-0590,0590,LYCEE TOCQUEVILLE,,43.6541525,6.941976,,,0,STA-STP-0590,,
STP-0593,0593,MAGAGNOSC,,43.6813037,6.9673311,,,0,STA-STP-0593,,
STP-0594,0594,MAGAGNOSC,,43.6814883,6.9668384,,,0,STA-STP-0594,,
STP-0595,0595,MAIRIE ANNEXE MAGAGNOSC,,43.6817411,6.9623244,,,0,STA-STP-0595,,
STP-0596,0596,MAIRIE ANNEXE MAGAGNOSC,,43.6817415,6.9616859,,,0,STA-STP-0596,,
STP-0598,0598,MAIRIE DE LA ROQUETTE,,43.5805956,6.9561391,,,0,STA-STP-0598,,1
STP-0601,0601,MALBOSC,,43.6733029,6.9461732,,,0,STA-STP-0601,,
STP-0602,0602,MALBOSC,,43.6733229,6.9460473,,,0,STA-STP-0602,,
STP-0603,0603,MALBOSC,,43.6714409,6.9420657,,,0,STA-STP-0603,,
STP-0604,0604,MALBOSC,,43.6718933,6.9423162,,,0,STA-STP-0604,,
STP-0605,0605,DOMAINE DE MALBOSC,,43.669681,6.9487941,,,0,STA-STP-0605,,
STP-0606,0606,DOMAINE DE MALBOSC,,43.6696406,6.9489688,,,0,STA-STP-0606,,
STP-0607,0607,MARECHAL LECLERC,,43.65021093,6.9198938,,,0,STA-STP-0607,,
STP-0608,0608,MARECHAL LECLERC,,43.6499045,6.9190363,,,0,STA-STP-0608,,
