origin,destination,vehicule_type,co2_train_kg,co2_avion_kg,co2_saved_kg,is_substitutable,distance_km,station_lat,station_long,station_lat_dest,station_long_dest,origin_city,destination_city,origin_station_traffic,origin_city_population,dest_station_traffic,dest_city_population
Bad Säckingen Bahnhof,Bermatingen-Ahausen Bahnhof,Train Longue Distance Nuit,0.09382531079903171,70.7316531233847,70.63782781258567,1,106.3779034002627,47.5558643,7.9487338,47.7305231,9.3448325,Bad Säckingen Bahnhof,Bermatingen-Ahausen Bahnhof,,16549.0,106903.0,
Bad Säckingen Bahnhof,Friedrichshafen Hafenbahnhof,Train Longue Distance,0.10185147912914128,76.01111230856814,75.909260829439,1,115.47786749335746,47.5558643,7.9487338,47.6515396,9.4824544,Bad Säckingen Bahnhof,Friedrichshafen Hafenbahnhof,,16549.0,,58403.0
Bad Säckingen Bahnhof,Friedrichshafen Stadtbahnhof,Train Longue Distance Nuit,0.10128271766989883,76.01111230856814,75.90982959089824,1,114.8330132311778,47.5558643,7.9487338,47.6533671,9.473588,Bad Säckingen Bahnhof,Friedrichshafen Stadtbahnhof,,16549.0,,58403.0
Bad Säckingen Bahnhof,Markdorf Bahnhof,Train Longue Distance Nuit,0.09644358028671952,70.7316531233847,70.63520954309799,1,109.34646291011283,47.5558643,7.9487338,47.7168416,9.3884457,Bad Säckingen Bahnhof,Markdorf Bahnhof,,16549.0,,
Bad Säckingen Bahnhof,"Salem, Bahnhof",Train Longue Distance Nuit,0.09123482388810993,68.90141986943075,68.81018504554264,1,103.44084341055547,47.5558643,7.9487338,47.7577,9.2969523,Bad Säckingen Bahnhof,"Salem, Bahnhof",,16549.0,,
Badischer Bahnhof,Bahnhof Überlingen,Train Longue Distance Nuit,0.10456534377110825,77.98580146752106,77.88123612374994,1,118.55481153186875,47.5677212,7.6082453,47.7689677,9.1630584,Badischer Bahnhof,Bahnhof Überlingen,,,,
Badischer Bahnhof,Bermatingen-Ahausen Bahnhof,Train Longue Distance Nuit,0.11583829861368218,90.17022748095826,90.05438918234458,1,131.33593947129498,47.5677212,7.6082453,47.7305231,9.3448325,Badischer Bahnhof,Bermatingen-Ahausen Bahnhof,,,106903.0,
Badischer Bahnhof,Friedrichshafen Hafenbahnhof,Train Longue Distance,0.12419070398227039,95.80427340177137,95.6800826977891,1,140.80578682797096,47.5677212,7.6082453,47.6515396,9.4824544,Badischer Bahnhof,Friedrichshafen Hafenbahnhof,,,,58403.0
Badischer Bahnhof,Friedrichshafen Stadtbahnhof,Train Longue Distance Nuit,0.12361569517646023,95.80427340177137,95.68065770659491,1,140.1538494064175,47.5677212,7.6082453,47.6533671,9.473588,Badischer Bahnhof,Friedrichshafen Stadtbahnhof,,,,58403.0
Badischer Bahnhof,Ludwigshafen(Bodensee) Bahnhof,Train Longue Distance Nuit,0.0984312421439182,71.47349510994772,71.3750638678038,1,111.60004778222017,47.5677212,7.6082453,47.8155463,9.0531316,Badischer Bahnhof,Ludwigshafen(Bodensee) Bahnhof,,,,
Badischer Bahnhof,Markdorf Bahnhof,Train Longue Distance Nuit,0.11853504288275392,90.17022748095826,90.0516924380755,1,134.39347265618358,47.5677212,7.6082453,47.7168416,9.3884457,Badischer Bahnhof,Markdorf Bahnhof,,,,
Badischer Bahnhof,Radolfzell Bahnhof,Train Longue Distance Nuit,0.09140423134256959,71.47349510994772,71.38209087860515,1,103.63291535438728,47.5677212,7.6082453,47.7356829,8.9691391,Badischer Bahnhof,Radolfzell Bahnhof,,,,30096.0
Badischer Bahnhof,"Salem, Bahnhof",Train Longue Distance Nuit,0.11308578577316719,87.02616594157469,86.91308015580152,1,128.21517661356825,47.5677212,7.6082453,47.7577,9.2969523,Badischer Bahnhof,"Salem, Bahnhof",,,,
Badischer Bahnhof,Uhldingen-Mühlhofen Bahnhof,Train Longue Distance Nuit,0.1096305604165119,77.98580146752106,77.87617090710455,1,124.29768754706564,47.5677212,7.6082453,47.7369576,9.248578,Badischer Bahnhof,Uhldingen-Mühlhofen Bahnhof,,,14285.0,
Bahnhof Überlingen,Badischer Bahnhof,Train Longue Distance,0.10456534377110825,77.98580146752106,77.88123612374994,1,118.55481153186875,47.7689677,9.1630584,47.5677212,7.6082453,Bahnhof Überlingen,Badischer Bahnhof,,,,
Bahnhof Überlingen,Rheinfelden (Baden) Bahnhof,Train Longue Distance,0.09340776882900444,67.43431751076349,67.34090974193448,1,105.90449980612748,47.7689677,9.1630584,47.5569071,7.784378,Bahnhof Überlingen,Rheinfelden (Baden) Bahnhof,,,,32535.0
