origin,destination,vehicule_type,origin_city,destination_city,station_lat,station_long,station_lat_dest,station_long_dest,distance_km,co2_kg,departure_time,arrival_time,source,provider
Gare de Gazeran,Gare de Saint-Mars-la-Brière,Train Longue Distance,Gare de Gazeran,Gare de Saint-Mars-la-Brière,48.625821,1.7718286,48.0285279,0.3657048,123.35779531452577,0.9792141792067056,16:49:00,19:06:00,mobility_db,FR_BreizhGo_mdb-1837
Gare de Gazeran,Gare de Sceaux - Boëssé,Train Longue Distance,Gare de Gazeran,Gare de Sceaux - Boëssé,48.625821,1.7718286,48.1222299,0.5722332,104.81503091929343,0.8320217154373513,16:49:00,18:49:00,mobility_db,FR_BreizhGo_mdb-1837
Gare de Granville,Gare de Argentan,Avion,Gare de Granville,Gare de Argentan,48.883099,-1.56417,48.709456,0.002856,116.39252773821963,74.66990487250939,,,airports,OurAirports
Gare de Granville,Gare de Argentan,EuroNight,Gare de Granville,Gare de Argentan,48.8383212,-1.5875472,48.7385458,-0.0252909,114.98501701890441,0.9127510650960633,04:35:00,06:01:00,mobility_db,FR_BreizhGo_mdb-1837
Gare de Granville,Gare de Dreux,Avion,Gare de Granville,Gare de Dreux,48.883099,-1.56417,48.70543,1.361155,215.17909202208585,86.7220231911997,,,airports,OurAirports
Gare de Granville,Gare de Dreux,EuroNight,Gare de Granville,Gare de Dreux,48.8383212,-1.5875472,48.731493,1.3701634,217.00814413443925,1.7226106481391787,04:35:00,07:18:00,mobility_db,FR_BreizhGo_mdb-1837
Gare de Granville,Gare de L'Aigle,Avion,Gare de Granville,Gare de L'Aigle,48.883099,-1.56417,48.758502,0.656632,163.17388539632108,104.68179304108492,,,airports,OurAirports
Gare de Granville,Gare de L'Aigle,EuroNight,Gare de Granville,Gare de L'Aigle,48.8383212,-1.5875472,48.7662297,0.620014,161.87380075163756,1.284954230366499,04:35:00,06:39:00,mobility_db,FR_BreizhGo_mdb-1837
Gare de Granville,Gare de Nonancourt,Avion,Gare de Granville,Gare de Nonancourt,48.883099,-1.56417,48.897669,1.250839,205.80233461709017,82.9429786497773,,,airports,OurAirports
Gare de Granville,Gare de Nonancourt,EuroNight,Gare de Granville,Gare de Nonancourt,48.8383212,-1.5875472,48.7757617,1.1928376,203.72236490680407,1.6171481326302108,04:35:00,07:07:00,mobility_db,FR_BreizhGo_mdb-1837
Gare de Granville,Gare de Paris Montparnasse Hall 1 - 2,Avion,Gare de Granville,Gare de Paris Montparnasse Hall 1 - 2,48.883099,-1.56417,48.774406,2.203102,276.0042155417165,111.23591867661973,,,airports,OurAirports
Gare de Granville,Gare de Paris Montparnasse Hall 1 - 2,EuroNight,Gare de Granville,Gare de Paris Montparnasse Hall 1 - 2,48.8383212,-1.5875472,48.8411711,2.3205138,285.97968129151997,2.2701067100920853,06:37:00,10:06:00,mobility_db,FR_BreizhGo_mdb-1837
Gare de Granville,Gare de Paris Montparnasse Vaugirard,Avion,Gare de Granville,Gare de Paris Montparnasse Vaugirard,48.883099,-1.56417,48.774406,2.203102,276.0042155417165,111.23591867661973,,,airports,OurAirports
Gare de Granville,Gare de Paris Montparnasse Vaugirard,EuroNight,Gare de Granville,Gare de Paris Montparnasse Vaugirard,48.8383212,-1.5875472,48.8411711,2.3205138,285.97968129151997,2.2701067100920853,04:35:00,08:17:00,mobility_db,FR_BreizhGo_mdb-1837
Gare de Granville,Gare de Sainte-Gauburge,Avion,Gare de Granville,Gare de Sainte-Gauburge,48.883099,-1.56417,48.758502,0.656632,163.17388539632108,104.68179304108492,,,airports,OurAirports
Gare de Granville,Gare de Sainte-Gauburge,EuroNight,Gare de Granville,Gare de Sainte-Gauburge,48.8383212,-1.5875472,48.7172834,0.4281636,148.30938051292216,1.1772798625115761,04:35:00,06:28:00,mobility_db,FR_BreizhGo_mdb-1837
Gare de Granville,Gare de Surdon,Avion,Gare de Granville,Gare de Surdon,48.883099,-1.56417,48.709456,0.002856,116.39252773821963,74.66990487250939,,,airports,OurAirports
Gare de Granville,Gare de Surdon,EuroNight,Gare de Granville,Gare de Surdon,48.8383212,-1.5875472,48.6647706,0.1344098,127.70652958604241,1.0137344318540047,04:35:00,06:11:00,mobility_db,FR_BreizhGo_mdb-1837
Gare de Granville,Gare de Verneuil-sur-Avre,Avion,Gare de Granville,Gare de Verneuil-sur-Avre,48.883099,-1.56417,48.611944,0.841944,178.96512873244777,114.81243167090511,,,airports,OurAirports
Gare de Granville,Gare de Verneuil-sur-Avre,EuroNight,Gare de Granville,Gare de Verneuil-sur-Avre,48.8383212,-1.5875472,48.7424865,0.9291927,184.6678835280653,1.4658936594457823,04:35:00,06:54:00,mobility_db,FR_BreizhGo_mdb-1837
Gare de Granville,Gare de Versailles Chantiers,Avion,Gare de Granville,Gare de Versailles Chantiers,48.883099,-1.56417,48.812459,2.067533,265.83384865442105,107.1370316296732,,,airports,OurAirports
Gare de Granville,Gare de Versailles Chantiers,EuroNight,Gare de Granville,Gare de Versailles Chantiers,48.8383212,-1.5875472,48.795829,2.1358823,272.63576003262256,2.1641826631389582,04:35:00,08:05:00,mobility_db,FR_BreizhGo_mdb-1837
Gare de Guingamp,Gare de Brest,Avion,Gare de Guingamp,Gare de Brest,48.723882,-3.027055,48.447899,-4.41854,106.8505454107375,68.54838722413638,,,airports,OurAirports
