origin,destination,distance_km,co2_saved_kg,is_substitutable,cluster_kmeans,cluster_dbscan
Gare de Ancenis,Gare de Blois - Chambord,189.5211651066743,114.95828319389938,1,0,0
Gare de Ancenis,Gare de Cinq-Mars-la-Pile,123.25149393041268,71.48194046065584,1,0,0
Gare de Ancenis,Gare de La Suze,107.35304870450578,75.79281534062407,1,0,0
Gare de Ancenis,Gare de Langeais,119.7083054973186,71.51006629043773,1,0,0
Gare de Ancenis,Gare de Le Mans,123.98774242632932,75.66076914186024,1,0,0
Gare de Ancenis,Gare de Mer,204.9269735280253,83.09086453451962,1,0,0
Gare de Ancenis,Gare de Meung-sur-Loire,221.1646772361008,84.83201013443943,1,0,0
Gare de Ancenis,Gare de Onzain - Chaumont-sur-Loire,178.32767535961003,115.04713711551156,1,0,0
Gare de Ancenis,Gare de Orléans,238.53537143257515,98.54523705823874,1,0,0
Gare de Ancenis,Gare de Saint-Pierre-des-Corps,143.17104836412358,90.8306289336662,1,2,0
Gare de Ancenis,Gare de Tours,140.86065478534013,90.84896883789456,1,0,0
Gare de Angers Maître École,Gare de Batz-sur-Mer,148.02054395011527,87.73982896059775,1,0,0
Gare de Angers Maître École,Gare de La Baule les Pins,139.48190559676507,87.80760867184664,1,0,0
Gare de Angers Maître École,Gare de La Baule-Escoublac,141.20777507702854,87.79390871991231,1,0,0
Gare de Angers Maître École,Gare de Le Croisic,149.99580813538762,87.72414931349505,1,0,0
Gare de Angers Maître École,Gare de Le Pouliguen,144.582719401939,87.76711841186116,1,0,0
Gare de Angers Maître École,Gare de Pornichet,138.22865640182744,87.81755696395605,1,0,0
Gare de Angers Maître École,Gare de Saint-Nazaire,127.9793953692838,78.41928317676175,1,0,0
Gare de Angers Maître École,Gare de Savenay,107.4196073474612,70.37709548830132,1,0,0
Gare de Angers Saint-Laud,Gare de Amboise,115.80121674819208,72.99797486800192,1,0,0
Gare de Angers Saint-Laud,Gare de Batz-sur-Mer,146.17324467701118,87.75449282222765,1,0,0
Gare de Angers Saint-Laud,Gare de Beaugency,167.26302364897745,101.7885437580674,1,0,0
Gare de Angers Saint-Laud,Gare de Blois - Chambord,141.83601158421044,84.81961948308314,1,0,0
Gare de Angers Saint-Laud,Gare de La Baule les Pins,137.6345007464922,87.8222733715481,1,0,0
Gare de Angers Saint-Laud,Gare de La Baule-Escoublac,139.3604489398111,87.80857279478954,1,0,0
Gare de Angers Saint-Laud,Gare de Le Croisic,148.14876860615473,87.7388111132781,1,0,0
