trip_id,agency_name,route_name,train_type,service_type,origin_stop_name,origin_country,destination_stop_name,destination_country,departure_time,arrival_time,distance_km,duration_h,emission_gco2e_pkm,total_emission_kgco2e,source_dataset
HŽPP 1840,HŽ Putnički prijevoz d.o.o.,1840 = 1841,Train régional,National,Vukovar,HR,Split,HR,16:57,06:51,700.0,13:54:00,9.29,6.5,Back-on-Track
HŽPP 1841,HŽ Putnički prijevoz d.o.o.,1840 = 1841,Train régional,National,Split,HR,Vukovar,HR,21:11,11:11,700.0,14:00:00,9.29,6.5,Back-on-Track
HŽPP 1880,HŽ Putnički prijevoz d.o.o.,Dalmacija,Train régional,National,Osijek,HR,Split,HR,19:48,09:21,677.0,13:33:00,9.6,6.5,Back-on-Track
HŽPP 1881,HŽ Putnički prijevoz d.o.o.,Dalmacija,Train régional,National,Split,HR,Osijek,HR,22:23,12:04,677.0,13:41:00,9.6,6.5,Back-on-Track
HŽPP/ÖBB EN 40237,Opérateur non renseigné,EN 414 = EN 40237,Train régional,International,Stuttgart Hbf,DE,Zagreb Gl. K.,HR,20:29,10:39,807.0,14:10:00,13.75,11.1,Back-on-Track
HŽPP/ÖBB EN 40414,Opérateur non renseigné,EN 40414 = EN 40465,Train régional,International,Zagreb Gl. K.,AT,Zürich HB,HR,19:38,09:20,903.0,13:42:00,5.87,5.3,Back-on-Track
HŽPP/ÖBB EN 40465,Opérateur non renseigné,EN 40414 = EN 40465,Train régional,International,Zürich HB,AT,Zagreb Gl. K.,HR,19:40,10:39,903.0,14:59:00,5.87,5.3,Back-on-Track
HŽPP/ÖBB EN 414,Opérateur non renseigné,EN 414 = EN 40237,Train régional,International,Zagreb Gl. K.,DE,Stuttgart Hbf,HR,19:38,08:38,807.0,13:00:00,13.75,11.1,Back-on-Track
HŽPP/ÖBB EN 480,Opérateur non renseigné,Non renseigné,Train de nuit,National,Rijeka,XX,Stuttgart Hbf,XX,18:57,08:38,,13.68,14.0,,Back-on-Track
HŽPP/ÖBB EN 60237,Opérateur non renseigné,Non renseigné,Train de nuit,National,Stuttgart Hbf,XX,Rijeka,XX,20:29,11:12,,14.72,14.0,,Back-on-Track
MÁV 1246 / 1605,MÁV-START Vasúti Személyszállító Zrt.,Istria,Train régional,International,Budapest Déli,HU,Koper,HR,20:30,08:34,703.0,12:04:00,17.092615894039735,12.02,Back-on-Track
MÁV 1246 / 1605 / 481,MÁV-START Vasúti Személyszállító Zrt.,Istria,Train régional,International,Budapest Déli,HU,Rijeka,HR,20:30,09:25,703.0,12:55:00,17.092615894039735,12.02,Back-on-Track
MÁV 1604 / 1247,MÁV-START Vasúti Személyszállító Zrt.,Istria,Train régional,International,Koper,HU,Budapest Déli,HR,20:15,08:29,703.0,12:14:00,17.092615894039735,12.02,Back-on-Track
MÁV 480 / 1604 / 1247,MÁV-START Vasúti Személyszállító Zrt.,Istria,Train régional,International,Rijeka,HU,Budapest Déli,HR,20:50,08:29,703.0,11:39:00,17.092615894039735,12.02,Back-on-Track
MÁV EN 40457,MÁV-START Vasúti Személyszállító Zrt.,EN 40457 = EN 40476,Train régional,International,Berlin Hbf,DE,Budapest Nyugati,HU,19:21,08:29,995.0,13:08:00,17.09,17.0,Back-on-Track
MÁV EN 40476,MÁV-START Vasúti Személyszállító Zrt.,EN 40457 = EN 40476,Train régional,International,Budapest Nyugati,DE,Berlin Hbf,HU,19:30,08:15,995.0,12:45:00,17.09,17.0,Back-on-Track
