route_id,agency_id,route_short_name,route_long_name,route_type
19-265-s24-2,1,265,Pasing Bf - Gräfelfing - Steinkirchen - Planegg,701
19-266-s24-1,1,266,Planegg - Martinsried - Klinikum Großhadern,701
19-266-s24-8,1,266,Planegg - Martinsried - Klinikum Großhadern,701
19-267-s24-1,1,267,Altenburgstr. - Lochham - Martinsried - Fürstenried West,701
19-267-V-s24-1,1,267V,"Neuried, Rathaus - Martinsried - Pasing, Gymnasium",701
19-268-s24-1,1,268,Waldfriedhof - Großhadern - Gräfelfing,701
19-268-s24-7,1,268,Waldfriedhof - Großhadern - Gräfelfing,701
19-269-s24-1,1,269,"Neuried, Maxhofweg - Klinikum Großhadern",701
19-270-s24-1,1,270,Höllriegelskreuth - Pullach - Georgenstraße - Solln,701
19-270-s24-2,1,270,Höllriegelskreuth - Pullach - Georgenstraße - Solln,701
19-270-V-s24-1,1,270V,"München, Siemensallee - Pullach, Gartenstr. / Rathaus",701
19-271-s24-1,1,271,Dietramszell - Straßlach - Höllriegelskreuth,701
19-271-s24-11,1,271,Dietramszell - Straßlach - Höllriegelskreuth,701
19-271-s24-7,1,271,Dietramszell - Straßlach - Höllriegelskreuth,701
19-271-V-s24-1,1,271V,"Egling - Straßlach - Grünwald, Gymnasium",701
19-271-V-s24-5,1,271V,"Egling - Straßlach - Grünwald, Gymnasium",701
19-272-N-s24-1,1,N272,Nachtbuslinie Grünwald,3
19-290-s24-2,1,290,Stadtbus Garching Untere Straßäcker - Garching-Hochbrück - Hochbrück,3
19-290-V-s24-2,1,290V,"Hochbrück, Jahnstr. - Prof.-Angermair-Ring",3
19-291-s24-1,1,291,Dachau - Oberschleißheim - Unterschleißheim West,701
19-292-s24-4,1,292,Garching-Forschungszentrum - Garching - Garching-Hochbrück - Oberschleißheim - Sonnenstraße,701
19-293-s24-1,1,293,Dirnismaning - Garching,701
19-294-s24-1,1,294,Am Hart - Helmholtz-Zentrum - Garching-Hochbrück,701
19-295-s24-1,1,295,Am Hart - Helmholtz-Zentrum - Oberschleißheim,701
19-299-s24-1,1,299,"(Lohhof, Schulzentrum) - Unterschleißheim West - Riedmoos",701
19-301-s24-1,1,301,Wolfratshausen -  Farchet B11 - Waldram - Stobäusstraße - Wolfratshausen,3
19-302-s24-1,1,302,Wolfratshausen - Stobäusstraße - Waldram - Farchet B11 - Wolfratshausen,3
19-310-s24-1,1,310,Stadtbus Geretsried Steiner Ring Süd - Schulzentrum - Fasanenweg - Lilienstraße,3
19-310-s24-2,1,310,Stadtbus Geretsried Steiner Ring Süd - Schulzentrum - Fasanenweg - Lilienstraße,3
19-370-s24-1,1,370,"Geretsried, Stein - Feuerwehrschule - Fasanenweg - Wolfratshausen",701
